"","Leg Place","Elapsed Time","Team Name","Team #","Racer Name","Gender","Category","Div Place"
"377",377,"2:52:56","Chuckanutty by Nature",266,"Tiffany Hershberger / Jeremy Green","/","Recreational Mixed",61
"378",378,"2:53:07","Race for the Beer",386,"Anna McCune / Katie Ridge","/","Recreational Women",13
"379",379,"2:53:10","Team Tuxedo",377,"Gretchen Bjork / Heather Fenstermaker","/","Recreational Open",97
"380",380,"2:53:20","Cephalo Pods",276,"Annie Lindberg / Jessica Broz","/","Recreational Women",14
"381",381,"2:54:31","8 guys 1 cup",335,"Ryan Reese / Dave Hammer","/","Recreational Open",98
"382",382,"2:55:11","Team Deinonychus",315,"Pam Kobylarz / Lauren Seyda","/","Recreational Open",99
"383",383,"2:56:49","41 Sports",132,"Jill Kamps / Janene Dejong","/","Recreational Women",15
"384",384,"2:57:04","Nature's Calling",152,"Kelly Berger / Meghann Willard","/","Whatcom County Women",11
"385",385,"2:57:52","Team Jan Muice",325,"Nathan Reese / Penghour Thaung","/","Recreational Open",100
"386",386,"2:58:26","Checkmate Pawn Loaners",395,"Seetha Chittar / Erin Morrissey","/","Recreational Open",101
"387",387,"2:58:45","Weekend Warriors",311,"Karen Weeks / debbie Bergnes","/","Recreational Open",102
"388",388,"2:59:12","A Nooksack in the Hand Is Worth Two in the Bush",10,"Diana Birkett / Kelly Sutherland","/","Competitive Mixed",8
"389",389,"3:00:11","star speckled banana slugs",133,"Eve Kerber / Sarah Kerber","/","Whatcom County Mixed",14
"390",390,"3:00:44","Public Enema",388,"Amy Mouat-Hunter / Tyson Hunter","/","Recreational Mixed",62
"391",391,"3:00:53","Perpetual Motion Squad",340,"Lexus Schrock / Brianna Ho","/","Recreational Open",103
"392",392,"3:01:04","Count It.",244,"Emily North Omdal / Micah LaNasa","/","Recreational Mixed",63
"393",393,"3:02:45","inTents",173,"Alissa Swank / Holly DeGroot","/","Whatcom County Women",12
"394",394,"3:04:21","Hungry Hungry Hippos",322,"Leah White / Kelsey Smiley","/","Recreational Mixed",64
"395",395,"3:06:17","Dude, where's my family?",511,"April Pagels / Betty Drees","/","Family",13
"396",396,"3:06:33","Boomer's Drive-In",7,"Ty Gee / Terry Lewis","/","Competitive Open",65
"397",397,"3:07:27","Octomom's Kids",309,"Matt Mahaffie / Sam Baker","/","Recreational Open",104
"398",398,"3:07:52","Step One: Being Awesome",370,"Laura Britt / Jennifer Clawson","/","Recreational Mixed",65
"399",399,"3:10:00","Team Phaco Chop",272,"Annette Aley / Amber Suddaby","/","Recreational Open",105
"400",400,"3:10:45","Bellingham Hash House Harriers",319,"Shawn Bell / Evan Croton","/","Recreational Mixed",66
"401",401,"3:20:16","Northwest Navigation",34,"Brian Mulligan / Erin Suda","/","Competitive Mixed",9
"402",402,"3:21:32","Odyseuss",345,"Rachel Biagi / Eunhee Oh","/","Recreational Mixed",67
