"","Leg Place","Elapsed Time","Team Name","Team #","Racer Name","Gender","Category","Div Place"
"41",41,"0:29:15","SSC You Call, We Haul",66,"Per Johnsen",NA,"Competitive Mixed",1
"42",42,"0:29:30","High Country Hoodlums",33,"Cameron Charles",NA,"Competitive Open",21
"43",43,"0:29:40","Cordata Dental",59,"Teddy Thorson",NA,"Competitive Open",22
"44",44,"0:29:44","Zero City Athletic Club (ZCAC)",34,"Tony Wiederkehr",NA,"Competitive Open",23
"45",45,"0:30:19","Minions of RA",417,"Jay McEntire",NA,"Recreational Open",5
"46",46,"0:30:20","Kevin LaFleur Memorial Team",29,"Scott Nydam",NA,"Competitive Open",24
"47",47,"0:30:22","Kulshan Cycles",139,"Kae Moe",NA,"Whatcom County Women",1
"48",48,"0:30:41","The Rolling Stoners",15,"Markus Virta",NA,"Competitive Open",25
"49",49,"0:30:50","VanDammage",62,"Rob Hamlin",NA,"Competitive Open",26
"50",50,"0:31:00","DIEGO'S",63,"Shawn Clarke",NA,"Competitive Open",27
"51",51,"0:31:12","Fanatik hot-Flashes",127,"Liz Herdman",NA,"Whatcom County Women",2
"52",52,"0:31:13","VR-61 Islanders",183,"Darren Donley",NA,"Recreational Open",6
"53",53,"0:31:20","Heath Tecna",530,"Dave Anana",NA,"Corporate",2
"54",54,"0:31:22","10 Lbs Heavier - JV",217,"Eric Kamila",NA,"Recreational Open",7
"55",55,"0:31:24","In a Sedimental Mood (Team AQ)",541,"John Gaffney",NA,"Corporate",3
"56",56,"0:31:32","EIGHT MEN WITHOUT A CLUE",373,"DAVID ROSS",NA,"Recreational Open",8
"57",57,"0:31:36","hoka",413,"Greta Olafsen",NA,"Recreational Mixed",1
"58",58,"0:31:39","Well Hung Jury",273,"Chris Burk",NA,"Recreational Open",9
"59",59,"0:31:40","Womb-bats",348,"Doug Collins",NA,"Recreational Open",10
"60",60,"0:31:45","Third Time's the Charm",424,"Jesse Kase",NA,"Recreational Open",11
"61",61,"0:31:50","Auto Asphyxiation",133,"Samuel Clay",NA,"Whatcom County Mixed",2
"62",62,"0:32:03","BAI ENVIRONMENTAL SERVICES",233,"Jeff Ten Pas",NA,"Recreational Open",12
"63",63,"0:32:12","Sodden Acceleration",425,"David Hansen",NA,"Recreational Open",13
"64",64,"0:32:17","Bellingham Firefighters",534,"Mark Brennan",NA,"Corporate",4
"65",65,"0:32:21","North Whatcom Fire Rescue",156,"Mandy Brassfield",NA,"Whatcom County Open",5
"66",66,"0:32:25","Racers and Chasers",418,"Tyler Slostad",NA,"Recreational Open",14
"67",67,"0:32:39","Strateka",245,"Daniel Gianotti",NA,"Recreational Open",15
"68",68,"0:32:47","Mt. Baker Ski Area Veterans",492,"Jeff Davis",NA,"Veterans",5
"69",69,"0:32:50","Team Jan Muice",318,"Aric Gaither",NA,"Recreational Open",16
"70",70,"0:33:09","Lusty Wanderers",236,"Jonas Bakkane",NA,"Recreational Mixed",2
"71",71,"0:33:12","Kids on [Lactic] Acid",36,"Evan Siroky",NA,"Competitive Open",28
"72",72,"0:33:14","7 MEN & 1 LADY WITH A CLUE",376,"Katrina Driver",NA,"Recreational Open",17
"73",73,"0:33:26","The Steelers",40,"Janice Clements",NA,"Competitive Women",2
"74",74,"0:33:35","revenge of the star speckled banana slugs",121,"Dominic Battistella",NA,"Whatcom County Mixed",3
"75",75,"0:33:47","Peanuts Gang",8,"Dominic Tracy",NA,"Competitive Open",29
"76",76,"0:33:49","Brooks Manufacturing Co.",14,"Jason Polverari",NA,"Competitive Open",30
"77",77,"0:33:50","Ann Arbor is a Whore...",341,"Bryan Schaeffer",NA,"Recreational Open",18
"78",78,"0:33:53","Roosevelt Ilk",16,"Erika Knight",NA,"Competitive Open",31
"79",79,"0:33:56","Ralf's Bavarian Bakery - Car Free",43,"Thomas Caldwell",NA,"Competitive Mixed",2
"80",80,"0:33:57","Angle of Repose",143,"John Tuxill",NA,"Whatcom County Open",6
"81",81,"0:33:59","Full Spandex",22,"Patrick Blair",NA,"Competitive Open",32
"82",82,"0:34:09","Ram by CrossfitX",257,"Jon Tesarik",NA,"Recreational Open",19
"83",83,"0:34:20","The Disasters",416,"Laura McLane",NA,"Recreational Mixed",3
"84",84,"0:34:29","Free to Ski",67,"Tiffan Wannamaker",NA,"Competitive Mixed",3
"85",85,"0:34:33","Can't be Beat 'Cause We Don't Compete",381,"Kim Wicklund",NA,"Recreational Open",20
"86",86,"0:34:34","Drinkers with a Racing Problem",42,"Terry Whitman",NA,"Competitive Open",33
"87",87,"0:34:36","Surfrider",371,"Brita Mjos",NA,"Recreational Mixed",4
"88",88,"0:35:08","Revenge of the Earth Nerds",405,"Julie Morse",NA,"Recreational Mixed",5
"89",89,"0:35:26","Steam Dogs",82,"Mary-Katharine Huebner",NA,"Competitive Mixed",4
"90",90,"0:35:31","You Can't Beat the Juice",409,"Emily Rauch",NA,"Recreational Open",21
"91",91,"0:35:35","The Forgotten Wings",335,"Tyler Gence",NA,"Recreational Open",22
"92",91,"0:35:35","Tesoro's Finest",559,"Jim Kopkowski",NA,"Corporate",5
"93",93,"0:35:36","Team Johnny",513,"Darryl Gustafson",NA,"Family",2
"94",94,"0:35:40","Bellingham Tennis Club",175,"Steve Walker",NA,"Recreational Open",23
"95",95,"0:35:45","Nitropaced",124,"Jen Campbell",NA,"Whatcom County Open",7
"96",95,"0:35:45","Fiamma Loves You",284,"Alyssa Cudmore",NA,"Recreational Mixed",6
"97",97,"0:35:47","Unorthodocs",38,"Andy Maixner",NA,"Competitive Open",34
"98",98,"0:35:56","Fast Cats",415,"Bob Walsh",NA,"Recreational Open",24
"99",99,"0:36:05","Hammer Time",252,"Carl Berg",NA,"Recreational Open",25
"100",100,"0:36:20","Sweat and the City",56,"Mark Handzlik",NA,"Competitive Open",35
"101",101,"0:36:21","Racing for Living Water International",298,"Becca Crandall",NA,"Recreational Open",26
"102",102,"0:36:28","Flight of the Photons: ULTRAFAST",212,"Laura Johnson",NA,"Recreational Mixed",7
"103",103,"0:36:30","Toplinx One",474,"Seth Fleetwood",NA,"Masters",4
"104",104,"0:36:40","Epic",275,"Chris Holstrom",NA,"Recreational Mixed",8
"105",105,"0:36:45","The Koniebes",514,"Brad Konrad",NA,"Family",3
"106",106,"0:36:51","Mt. Baker Ski Area Mixed",168,"Mike Moren",NA,"Whatcom County Mixed",4
"107",107,"0:37:02","Chuck Norris Nunchucked You in the Nooksack",315,"Sarah Hartsoch",NA,"Recreational Open",27
"108",108,"0:37:08","Daily Origami",537,"Jerry Zyskowski",NA,"Corporate",6
"109",109,"0:37:25","Alpha Dogs",540,"Ryan Roy",NA,"Corporate",7
"110",110,"0:37:30","Bank of America Home Loans",160,"Robert Knickrehm",NA,"Whatcom County Open",8
"111",111,"0:37:36","Mt. Baker Patrol A Team",561,"Jeremy Stafford",NA,"Corporate",8
"112",112,"0:37:40","Toppa The West",83,"Ken Giffin",NA,"Competitive Open",36
"113",113,"0:37:46","Pride of Peak7",187,"Si France",NA,"Recreational Open",28
"114",114,"0:37:49","Erin Baker's",266,"Laura Curtis",NA,"Recreational Women",1
"115",115,"0:37:53","The Barelies",396,"doss herndon-schepper",NA,"Recreational Mixed",9
"116",116,"0:37:56","Team Whitemeat",386,"Junah Birchwater",NA,"Recreational Mixed",10
"117",116,"0:37:56","The Scorchers",81,"Matt Brown",NA,"Competitive Open",37
"118",118,"0:38:04","Two Cubed To Finish",12,"Joshua DeLong",NA,"Competitive Open",38
"119",119,"0:38:10","Outbound Life.com",350,"Marah Connole",NA,"Recreational Open",29
"120",120,"0:38:13","SMA Rocket Launchers",356,"Tammy Trippel",NA,"Recreational Open",30
"121",121,"0:38:17","Fairhaven Bike & Ski - Whatcom Mixed",153,"Jessica Saucier",NA,"Whatcom County Mixed",5
"122",122,"0:38:30","How do you NuCanoe?",355,"Forrest Griek",NA,"Recreational Open",31
