"","Leg Place","Elapsed Time","Team Name","Team #","Racer Name","Gender","Category","Div Place"
"212",212,"0:43:38","BWC2015",36,"Eric Munsen","Male","Masters",5
"213",213,"0:43:40","Watts The Hurry",284,"Nick Johnston","Male","Recreational Open",61
"214",214,"0:43:46","Terrapin Station",345,"Dennis Reilly","Male","Recreational Open",62
"215",215,"0:43:57","Humana robur",261,"Mark Tomko","Male","Car-Free",12
"216",216,"0:44:00","Venus Envy",161,"Ingrid Enschede","Female","Recreational Women",4
"217",217,"0:44:01","Tight Genes",312,"Matthew McNeilly","Male","Family",5
"218",218,"0:44:07","Fresh off the Couch",113,"Robert Slack","Male","Recreational Mixed",26
"219",219,"0:44:12","Faithlife",60,"Kent Sanner","Male","Corporate",20
"220",220,"0:44:13","Team ConnecT1D",134,"Doug Lodmill","Male","Competitive Open",40
"221",221,"0:44:22","Mooseknuckle",281,"Roland VandenBos","Male","Recreational Open",63
"222",222,"0:44:23","Where's Marv?",216,"Cevan Schmitt","Male","Recreational Open",64
"223",223,"0:44:42","Victorious Secret",19,"Corey Shaffer","Male","Competitive Mixed",7
"224",224,"0:44:55","Team Janicki Infusers",217,"Adam Bunch","Male","Recreational Open",65
"225",225,"0:45:08","Post Office Bay Brigade",7,"Will Shuman","Male","Recreational Open",66
"226",226,"0:45:14","Deadly Viper Assassination Squad",235,"Sunny Nelson","Female","Recreational Women",5
"227",227,"0:45:19","man. are we gettin' old",105,"William Hasenjaeger","Male","Competitive Open",41
"228",228,"0:45:25","The Calypsos",179,"Bonnie Lehecka","Female","Recreational Women",6
"229",229,"0:45:26","Shell Thunder",62,"Antonio Aguilar","Male","Corporate",21
"230",229,"0:45:26","Big Hero 8",251,"Torben Syberg","Male","Recreational Open",67
"231",231,"0:45:29","Skit Macka",45,"Patrick Harber","Male","Recreational Open",68
"232",232,"0:45:32","Rabble Rousers Revenge",131,"Michael Reams","Male","Recreational Mixed",27
"233",233,"0:45:34","Josh's Hammer",104,"Fenton Travers","Male","Recreational Mixed",28
"234",234,"0:45:36","Sehomies",20,"Nathan Ruffatto","Male","High School",5
"235",235,"0:45:43","Rudy's Pizzeria/Up&Up",206,"Breyanna Waldsmith","Female","Whatcom County Mixed",6
"236",236,"0:45:49","Ludicrous Speed",35,"Steven Degracia","Male","Recreational Open",69
"237",237,"0:45:52","FeLions",274,"Mariah Ross","Female","Whatcom County Women",6
"238",238,"0:45:57","Kulshan CrossFit",347,"Charlie doherty","Male","Whatcom County Mixed",7
"239",239,"0:46:06","Essential Ten",97,"Patrick Bi","Male","High School",6
"240",240,"0:46:07","There's Gotta Be a Better Way",208,"J. Gordon","Male","Corporate",22
"241",241,"0:46:13","Beer Runs Downhill",102,"Sonny Bates-Mundell","Male","Competitive Open",42
"242",241,"0:46:13","Dirty Hamster Love",53,"Robert Mills","Male","Recreational Mixed",29
"243",243,"0:46:18","MP Soul Crushers",304,"Peter Grant","Male","Recreational Open",70
"244",244,"0:46:20","Helly Hansen",310,"Sergei Ivanov","Male","Recreational Mixed",30
"245",245,"0:46:23","W.D.F.A.",177,"Luke Simmons","Male","Recreational Open",71
"246",246,"0:46:37","Ready, Willing, and Mostly Able",164,"Scott DeGraw","Male","Recreational Mixed",31
"247",247,"0:46:41","The Golden Nuts",187,"Brooks Barnett","Male","Corporate",23
"248",248,"0:46:50","Rumble City, CA",182,"Racr Engbat","Male","Recreational Open",72
"249",249,"0:46:52","Tagalongs",55,"kinsey shilling","Male","Recreational Open",73
"250",250,"0:46:53","Burning Bunions",54,"Craig Coyne","Male","Recreational Open",74
"251",251,"0:46:55","M.A.B.",159,"Vic Anderson","Male","Competitive Open",43
"252",252,"0:46:56","Peoples Bank WHJ",184,"Christopher Burk","Male","Veterans",5
"253",253,"0:47:03","Those guys over there",341,"Andrew Buehrer","Male","Competitive Open",44
"254",253,"0:47:03","Samson Rope Technologies",175,"Greg Mozsgai","Male","Corporate",24
"255",255,"0:47:04","Jetsam",90,"Curtis Hinman","Male","Recreational Open",75
"256",256,"0:47:08","Diablo Discharge",291,"John Harter","Male","Recreational Open",76
"257",257,"0:47:09","Badges? We don't need no stinkin' badges!",255,"Brent Lundstrom","Male","Recreational Open",77
"258",258,"0:47:13","MDS Men",302,"Brad Dodson","Male","Recreational Open",78
"259",259,"0:47:19","beautiful disaster",292,"Adam Rivers","Male","Competitive Mixed",8
"260",260,"0:47:28","WWS's Screaming Sheagles",229,"Allison Andrews","Female","Recreational Women",7
"261",261,"0:47:31","Everybodys gym",167,"Cecilia Chacon","Female","Whatcom County Mixed",8
"262",262,"0:47:38","Wow, they're just not getting better.",101,"Kai farrar","Male","Recreational Open",79
"263",263,"0:47:39","Crazy Canucks",100,"jared hodge","Male","Recreational Open",80
"264",264,"0:47:44","All the Spirit Animals",127,"Luke Jennings","Male","Recreational Mixed",32
"265",265,"0:47:47","Bellingham Cycle Works",109,"Lars Lider","Male","Recreational Open",81
"266",266,"0:47:50","This One's For Nettie",157,"Jacob Gates","Male","Recreational Mixed",33
"267",267,"0:47:55","Morrobros",314,"Shane Scott","Male","Recreational Open",82
"268",267,"0:47:55","Landau Associates II",234,"Nicholas Dosch","Male","Recreational Open",82
"269",269,"0:47:59","Salty Salish Sea Gals",29,"Hayley Trageser","Female","Recreational Women",8
"270",270,"0:48:08","Sehome UPS Store-mers",85,"Pam Fonda","Female","Recreational Mixed",34
"271",271,"0:48:21","Mema's Road Trip",146,"Kelby Williams","Male","Recreational Open",84
"272",272,"0:48:22","Mount Baker Experience",349,"Tyler Hanson","Male","Whatcom County Mixed",9
"273",273,"0:48:29","Until Ski to Sea Do Us Part",1,"Peter Ashurst","Male","Recreational Mixed",35
