"","Leg Place","Elapsed Time","Team Name","Racer Name","Gender","Category","Div Place"
"189",189,"0:45:23","Canuckleheads","James Chesko","","Recreational Open",53
"190",189,"0:45:23","Funke's Bruised Ribs","James Metz","","Recreational Open",53
"191",191,"0:45:24","Peoples Bank","Taylor Peterson-Foy","","Recreational Open",55
"192",192,"0:45:31","Odin's Army Partie Deux","Raymond Weinrich","","Recreational Open",56
"193",192,"0:45:31","Sportsman Chalet","Andrew Wells","","Corporate",13
"194",194,"0:45:32","Turn and Burn","Sam Trippe","","Whatcom County Open",12
"195",194,"0:45:32","BigBig Bettys","Jason Strayer","","Competitive Open",45
"196",196,"0:45:33","The Fronsmen","Anton Ypma","","Competitive Open",46
"197",197,"0:45:34","Distant Thunder","Kory Harding","","Competitive Mixed",8
"198",198,"0:45:35","Tartan Spartans","Paul Whitmore","","Recreational Mixed",21
"199",198,"0:45:35","Norris's Disciples","John Edgerly","","Recreational Open",57
"200",200,"0:45:36","Old And In The Way","Scott Anderson / Kevin Fazio","/","Veterans",11
"201",201,"0:45:38","After Their Leg","Mike Jacobson","","Recreational Open",58
"202",202,"0:45:39","Ain't No Mountain High Enough","Melissa Olson","","Recreational Women",5
"203",203,"0:45:40","OOO-UM-GOW-AH","Jim Olson","","Competitive Open",47
"204",204,"0:45:42","Team Johnny 2","Nick Beard","","Family",8
"205",205,"0:45:52","The Grateful Deaf","Suzan Pool","","Recreational Open",59
"206",206,"0:45:56","Wanderlust - Men","Chase Abbott","","Recreational Open",60
"207",207,"0:46:04","There's got to be a better way! (tm)","J. Gordon","","Recreational Open",61
"208",208,"0:46:05","Alpha Dogs","Greg Laughlin","","Corporate",14
"209",208,"0:46:05","Diego's Fresh Express","Ian Earle","","High School",5
"210",210,"0:46:08","The Haphazard Few","Kurt DeVries","","Recreational Open",62
"211",211,"0:46:10","She-roes, One's Prime is Elusive!","Rosemary Graham Mora","","Whatcom County Women",4
"212",212,"0:46:11","Mongrels","Jim LeCuyer","","Competitive Open",48
"213",213,"0:46:12","Whatcom Physical Therapy and Fitness","Jared Parker","","Recreational Open",63
"214",214,"0:46:13","Acht du Lieber!","Christopher Navarre","","Recreational Open",64
"215",215,"0:46:14","Peach","Cam Matches","","Recreational Mixed",22
"216",216,"0:46:18","Cloud Mountain Farm Center","georgia mitchell","","Whatcom County Open",13
"217",217,"0:46:20","Odin's Army","Keith Dorrenbos","","Recreational Open",65
"218",218,"0:46:21","MSSB ""Invested to Win""","Paul Pollard","","Recreational Open",66
"219",219,"0:46:26","Gates of Hell","Doug Holtzman","","Competitive Open",49
"220",219,"0:46:26","What's On Your List?","Gary Davis","","Recreational Mixed",23
"221",221,"0:46:30","Put A Bird On It","Steve Sand","","Recreational Mixed",24
"222",221,"0:46:30","Western Refinery Services","Brad Bennett","","Competitive Open",50
"223",223,"0:46:32","Return of the Mountain Beavers","Mark Harting","","Whatcom County Open",14
"224",224,"0:46:41","Rowers- Retired and Expired","Nolan Winger","","Recreational Women",6
"225",225,"0:46:43","Dark Side","Dylan Stanford","","Competitive Open",51
"226",225,"0:46:43","Cascade DAFO","Jim Belanger","","Recreational Open",67
"227",227,"0:46:44","Beautiful Disaster II","Corey Eco","","Recreational Mixed",25
"228",228,"0:46:47","Wind delay","Nick Battjes","","Recreational Mixed",26
"229",229,"0:46:49","Ernest and the Shackletons","Keith Russell","","Recreational Open",68
"230",230,"0:46:50","Evergreen List","Mike Buford","","Whatcom County Open",15
"231",230,"0:46:50","Mt. Baker Ski Patrol 'C' Team","Greg Spooner","","Corporate",15
"232",232,"0:46:57","NWWA FOOLS","Scott Crowe","","Recreational Open",69
"233",233,"0:47:01","Team OMG!","Rick Collier","","Recreational Open",70
"234",234,"0:47:02","The Fat and the Furious","Robin Yakhour","","Competitive Open",52
"235",235,"0:47:08","Harbor Wholesale Foods","Mike Erickson","","Recreational Open",71
"236",236,"0:47:13","Let's Take a Year Off","Aaron Hakeman","","Whatcom County Open",16
"237",237,"0:47:14","Boys on Bikes","Mike Mills","","Recreational Open",72
"238",238,"0:47:18","R.B. Wick's Lady Warriors","Susan Conrad","","Whatcom County Women",5
"239",239,"0:47:21","Fresh Off The Couch","Anne Baxter","","Recreational Mixed",27
"240",240,"0:47:27","Ladies of Lightening","Michelle Wynne","","Competitive Women",4
"241",241,"0:47:30","IsoLab","Brad Markle","","Competitive Open",53
"242",242,"0:47:32","No Teacher Left Behind!","Stephen Mullenix","","Whatcom County Open",17
"243",243,"0:47:35","Polish Force NorthWest","Jan Cichociemny","","Competitive Open",54
"244",244,"0:47:40","Mannschaft von Lorenz","Geoff Lawrence","","Family",9
"245",245,"0:47:42","Ferndale Alliance Church","Paul Stoeckl","","Whatcom County Open",18
"246",246,"0:47:43","River Rats","John Buursma","","Corporate",16
"247",246,"0:47:43","The Channel 4 News Team","Ralph Nelson","","Recreational Mixed",28
"248",248,"0:47:44","Team Bear Attack","Noah Shay","","Recreational Open",73
"249",249,"0:47:45","Be Local Bee Team","David Dean","","Recreational Mixed",29
"250",250,"0:47:47","It's All Downhill From Here","Eli Gurarie","","Recreational Open",74
"251",251,"0:47:51","Moore Sharp Newcomers","noah cyrmoore","","Family",10
"252",252,"0:47:54","Average Jeos","Richard Jeo","","Recreational Mixed",30
"253",253,"0:47:56","LezzzGO","Tino Quiroga","","Recreational Open",75
"254",253,"0:47:56","Big Test icicles","Jason Brown","","Competitive Open",55
"255",255,"0:47:57","Bearcat Leg Power","Jesse Williams","","Recreational Open",76
"256",256,"0:48:00","Peachy Speechies","Chelsea Adams","","Recreational Women",7
"257",257,"0:48:02","Seven Broken Legs","Sean Keithly","","Recreational Mixed",31
"258",258,"0:48:05","There Better be Beer at the Bottom","Mike Ilyin","","Recreational Open",77
"259",259,"0:48:06","Peak 7 - Glorious Adventure","Craig Kerr","","Recreational Open",78
"260",260,"0:48:09","Mass Wasting","Dan Baharav","","Recreational Open",79
"261",260,"0:48:09","Ain't Going Back To Rehab?.........Well we say go, go, go!","Jeff Freeland","","Whatcom County Mixed",7
"262",262,"0:48:11","Immaculate Consumption","Samuel Schell","","Recreational Open",80
"263",263,"0:48:22","Family Business 2","Matt Gray","","Family",11
"264",264,"0:48:23","Moxy in Motion","Anthony McMullen","","Competitive Open",56
"265",265,"0:48:31","The Royal Order Of Cardinals","Julie Atwood","","Recreational Mixed",32
