"","player","level","gender","division","team_name","Turns","Ds","Assists","Points","plus_minus","team_games","turns_per_game","ds_per_game","ast_per_game","pts_per_game","pls_mns_per_game"
"88","Dorthea Trelstad Pi-Sunyer","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",5,5,3,13,16,6,0.833333333333333,0.833333333333333,0.5,2.16666666666667,2.66666666666667
"89","Adam Kohn","Division 3","Men","Division 3 Men","Williams WUFO",4,2,7,11,16,6,0.666666666666667,0.333333333333333,1.16666666666667,1.83333333333333,2.66666666666667
"90","Theo Shapinsky","Division 1","Men","Division 1 Men","Michigan Magnum",6,4,9,8,15,5,1.2,0.8,1.8,1.6,3
"91","Seth Wells","Division 1","Men","Division 1 Men","Colorado Mambird",8,2,13,8,15,7,1.14285714285714,0.285714285714286,1.85714285714286,1.14285714285714,2.14285714285714
"92","Sebastian Williamson","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",11,2,18,6,15,6,1.83333333333333,0.333333333333333,3,1,2.5
"93","Scott Whitley","Division 1","Men","Division 1 Men","Georgia Jojah",5,2,6,12,15,5,1,0.4,1.2,2.4,3
"94","Robert McCabe","Division 1","Men","Division 1 Men","Cal Ursa Major",1,2,6,8,15,5,0.2,0.4,1.2,1.6,3
"95","Nanda Min-Fink","Division 1","Men","Division 1 Men","Colorado Mambird",5,0,5,15,15,7,0.714285714285714,0,0.714285714285714,2.14285714285714,2.14285714285714
"96","Maxwell Caputo","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",12,2,18,7,15,6,2,0.333333333333333,3,1.16666666666667,2.5
"97","Max Gade","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",1,6,3,7,15,7,0.142857142857143,0.857142857142857,0.428571428571429,1,2.14285714285714
"98","Maryanne Maxwell","Division 3","Women","Division 3 Women","Portland UPRoar",2,4,4,9,15,6,0.333333333333333,0.666666666666667,0.666666666666667,1.5,2.5
