"","player","level","gender","division","team_name","Turns","Ds","Assists","Points","plus_minus","team_games","turns_per_game","ds_per_game","ast_per_game","pts_per_game","pls_mns_per_game"
"827","Kawika Tu","Division 3","Men","Division 3 Men","Williams WUFO",0,1,0,0,1,6,0,0.166666666666667,0,0,0.166666666666667
"828","Kavya Borra","Division 3","Women","Division 3 Women","Richmond Red Hots",14,7,0,8,1,6,2.33333333333333,1.16666666666667,0,1.33333333333333,0.166666666666667
"829","Kana Chung","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat",0,0,0,1,1,6,0,0,0,0.166666666666667,0.166666666666667
"830","Kaitlyn Straight","Division 1","Women","Division 1 Women","California - San Diego D-Co",0,0,0,1,1,5,0,0,0,0.2,0.2
"831","Kainoa Hottendorf","Division 1","Men","Division 1 Men","Cal Ursa Major",0,0,0,1,1,5,0,0,0,0.2,0.2
"832","Julia Kezer","Division 1","Women","Division 1 Women","Vermont Ruckus",0,1,0,0,1,6,0,0.166666666666667,0,0,0.166666666666667
"833","Julia Frank","Division 3","Women","Division 3 Women","Occidental WAC",1,1,0,1,1,6,0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667
"834","Joshua Wang","Division 1","Men","Division 1 Men","Michigan Magnum",0,1,0,0,1,5,0,0.2,0,0,0.2
"835","Joseph Dauchess","Division 3","Men","Division 3 Men","Franciscan Fatal",0,1,0,0,1,6,0,0.166666666666667,0,0,0.166666666666667
"836","Jonas Kra-Caskey","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",0,1,0,0,1,6,0,0.166666666666667,0,0,0.166666666666667
"837","Jonah Hammes","Division 1","Men","Division 1 Men","Oregon EGO",0,0,1,0,1,6,0,0,0.166666666666667,0,0.166666666666667
"838","Jing Jing Munson","Division 1","Women","Division 1 Women","Carleton Syzygy",3,3,0,1,1,6,0.5,0.5,0,0.166666666666667,0.166666666666667
"839","Jesse Barker Plotkin","Division 3","Men","Division 3 Men","Carleton CHOP",2,3,0,0,1,6,0.333333333333333,0.5,0,0,0.166666666666667
"840","Jericho Stern","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",1,1,0,1,1,6,0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667
"841","Jamilah Toure","Division 1","Women","Division 1 Women","Colorado Quandary",1,1,0,1,1,7,0.142857142857143,0.142857142857143,0,0.142857142857143,0.142857142857143
"842","Jamieson Rear","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",0,1,0,0,1,7,0,0.142857142857143,0,0,0.142857142857143
"843","Jaden Fielding","Division 1","Men","Division 1 Men","Ottawa Gee-Gees",0,0,0,1,1,5,0,0,0,0.2,0.2
"844","Jaden Busch","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",0,0,0,1,1,5,0,0,0,0.2,0.2
"845","Jacob Mathew","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat",0,1,0,0,1,6,0,0.166666666666667,0,0,0.166666666666667
"846","Jaclyn Murray","Division 3","Women","Division 3 Women","Portland UPRoar",1,2,0,0,1,6,0.166666666666667,0.333333333333333,0,0,0.166666666666667
"847","Jack Ryan","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",2,1,1,1,1,6,0.333333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"848","Jack Gleason","Division 1","Men","Division 1 Men","Oregon EGO",0,1,0,0,1,6,0,0.166666666666667,0,0,0.166666666666667
"849","Ivan Kase","Division 1","Men","Division 1 Men","Minnesota Grey Duck",0,0,1,0,1,5,0,0,0.2,0,0.2
"850","Isabella Harker","Division 1","Women","Division 1 Women","Oregon Fugue",8,1,4,4,1,6,1.33333333333333,0.166666666666667,0.666666666666667,0.666666666666667,0.166666666666667
"851","Isabel Contreras","Division 3","Women","Division 3 Women","Portland UPRoar",4,1,1,3,1,6,0.666666666666667,0.166666666666667,0.166666666666667,0.5,0.166666666666667
"852","Isaac Fuzat","Division 1","Men","Division 1 Men","Texas TUFF",1,1,1,0,1,5,0.2,0.2,0.2,0,0.2
"853","Ian Grochocinski","Division 1","Men","Division 1 Men","Washington University Contra",0,1,0,0,1,5,0,0.2,0,0,0.2
"854","Henry Kennedy","Division 1","Men","Division 1 Men","NC State Alpha",4,0,2,3,1,6,0.666666666666667,0,0.333333333333333,0.5,0.166666666666667
"855","Hazel Stringer","Division 3","Women","Division 3 Women","Middlebury Pranksters",0,0,0,1,1,5,0,0,0,0.2,0.2
"856","Hayden King","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",0,0,0,1,1,7,0,0,0,0.142857142857143,0.142857142857143
"857","Grady Welsh","Division 3","Men","Division 3 Men","Middlebury Pranksters",1,0,0,2,1,5,0.2,0,0,0.4,0.2
"858","Georgia Smith","Division 1","Women","Division 1 Women","Victoria Vikes",5,4,1,1,1,5,1,0.8,0.2,0.2,0.2
"859","Geoffrey Tucker Kalmus","Division 1","Men","Division 1 Men","Colorado Mambird",2,0,1,2,1,7,0.285714285714286,0,0.142857142857143,0.285714285714286,0.142857142857143
"860","Gaurav Prasad","Division 1","Men","Division 1 Men","Colorado Mambird",0,1,0,0,1,7,0,0.142857142857143,0,0,0.142857142857143
"861","Gaby Elkhoury","Division 1","Men","Division 1 Men","Georgia Jojah",1,2,0,0,1,5,0.2,0.4,0,0,0.2
"862","Gabriel Nobis","Division 1","Men","Division 1 Men","Oregon EGO",1,0,1,1,1,6,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667
"863","Gabriel Gatewood-Wolfe","Division 1","Men","Division 1 Men","Cal Ursa Major",3,1,2,1,1,5,0.6,0.2,0.4,0.2,0.2
"864","Gabriel Badillo Moorman","Division 3","Men","Division 3 Men","St Olaf Berzerkers",0,0,1,0,1,6,0,0,0.166666666666667,0,0.166666666666667
"865","Forrest Williams","Division 1","Men","Division 1 Men","Vermont Chill",1,0,1,1,1,5,0.2,0,0.2,0.2,0.2
"866","Forrest Vargyas","Division 1","Men","Division 1 Men","Oregon State Beavers",0,0,0,1,1,5,0,0,0,0.2,0.2
"867","Feliz Matthews","Division 3","Women","Division 3 Women","Portland UPRoar",0,1,0,0,1,6,0,0.166666666666667,0,0,0.166666666666667
"868","Evan Tompkins","Division 1","Men","Division 1 Men","Washington University Contra",4,3,0,2,1,5,0.8,0.6,0,0.4,0.2
"869","Evan Lutz","Division 1","Men","Division 1 Men","Penn State Spank",1,0,1,1,1,5,0.2,0,0.2,0.2,0.2
"870","Eva Fischer","Division 1","Women","Division 1 Women","Carleton Syzygy",10,4,4,3,1,6,1.66666666666667,0.666666666666667,0.666666666666667,0.5,0.166666666666667
"871","Ethan Schiff","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",4,1,1,3,1,5,0.8,0.2,0.2,0.6,0.2
"872","Ethan Ode","Division 1","Men","Division 1 Men","Minnesota Grey Duck",0,0,0,1,1,5,0,0,0,0.2,0.2
"873","Ethan Landis","Division 1","Men","Division 1 Men","Penn State Spank",3,1,0,3,1,5,0.6,0.2,0,0.6,0.2
"874","Ethan Landgreen","Division 3","Men","Division 3 Men","St Olaf Berzerkers",1,0,0,2,1,6,0.166666666666667,0,0,0.333333333333333,0.166666666666667
"875","Emmett Levine","Division 3","Men","Division 3 Men","Claremont Braineaters",2,1,1,1,1,6,0.333333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"876","Emma Toussaint","Division 1","Women","Division 1 Women","California - San Diego D-Co",1,1,0,1,1,5,0.2,0.2,0,0.2,0.2
"877","Emma Seto","Division 3","Women","Division 3 Women","Richmond Red Hots",2,2,0,1,1,6,0.333333333333333,0.333333333333333,0,0.166666666666667,0.166666666666667
"878","Emma Ellefson-Frank","Division 1","Women","Division 1 Women","California - San Diego D-Co",10,3,7,1,1,5,2,0.6,1.4,0.2,0.2
"879","Emma Crump","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",0,0,0,1,1,5,0,0,0,0.2,0.2
"880","Emile Starkweather","Division 1","Men","Division 1 Men","Oregon EGO",0,0,0,1,1,6,0,0,0,0.166666666666667,0.166666666666667
"881","Emiko Shiota","Division 1","Women","Division 1 Women","California - San Diego D-Co",0,1,0,0,1,5,0,0.2,0,0,0.2
"882","Elyse Siegel","Division 1","Women","Division 1 Women","Victoria Vikes",0,0,0,1,1,5,0,0,0,0.2,0.2
"883","Elliot Mayo","Division 3","Men","Division 3 Men","Berry Bucks",0,1,0,0,1,6,0,0.166666666666667,0,0,0.166666666666667
"884","Ella Spitz","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles",5,4,0,2,1,6,0.833333333333333,0.666666666666667,0,0.333333333333333,0.166666666666667
"885","Ella Polli","Division 1","Women","Division 1 Women","Vermont Ruckus",2,2,0,1,1,6,0.333333333333333,0.333333333333333,0,0.166666666666667,0.166666666666667
"886","Ella Evans","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",1,2,0,0,1,6,0.166666666666667,0.333333333333333,0,0,0.166666666666667
"887","Elijah McKinley","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",2,0,0,3,1,5,0.4,0,0,0.6,0.2
"888","Elie Weitzman","Division 1","Men","Division 1 Men","Washington University Contra",2,0,3,0,1,5,0.4,0,0.6,0,0.2
"889","Eleanor Tyne","Division 1","Women","Division 1 Women","Tufts EWO",1,1,1,0,1,5,0.2,0.2,0.2,0,0.2
"890","Edward Morris","Division 1","Men","Division 1 Men","Cal Ursa Major",2,0,3,0,1,5,0.4,0,0.6,0,0.2
"891","Dylan McKellips","Division 3","Men","Division 3 Men","Rochester Piggies",0,0,0,1,1,6,0,0,0,0.166666666666667,0.166666666666667
"892","Drew Vetteth","Division 1","Men","Division 1 Men","Cal Ursa Major",1,0,2,0,1,5,0.2,0,0.4,0,0.2
"893","Dov Bearman","Division 1","Men","Division 1 Men","North Carolina Darkside",0,0,1,0,1,6,0,0,0.166666666666667,0,0.166666666666667
"894","Dhara Buebel","Division 1","Women","Division 1 Women","North Carolina Pleiades",0,0,1,0,1,7,0,0,0.142857142857143,0,0.142857142857143
"895","Devon Shepherd","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",0,0,0,1,1,6,0,0,0,0.166666666666667,0.166666666666667
"896","David Peterson","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",2,2,0,1,1,5,0.4,0.4,0,0.2,0.2
"897","David Kim","Division 3","Men","Division 3 Men","St Olaf Berzerkers",0,0,0,1,1,6,0,0,0,0.166666666666667,0.166666666666667
"898","David Allen","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",0,0,0,1,1,6,0,0,0,0.166666666666667,0.166666666666667
"899","Dash Fitzgerald","Division 3","Men","Division 3 Men","Whitman Sweets",0,0,0,1,1,6,0,0,0,0.166666666666667,0.166666666666667
"900","Danielle Michiels","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",1,0,1,1,1,5,0.2,0,0.2,0.2,0.2
"901","Daniel Kang","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",0,0,0,1,1,5,0,0,0,0.2,0.2
"902","Daboh Ahn","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts",0,1,0,0,1,6,0,0.166666666666667,0,0,0.166666666666667
"903","Da'Rina Ballard","Division 3","Women","Division 3 Women","Occidental WAC",0,1,0,0,1,6,0,0.166666666666667,0,0,0.166666666666667
"904","Conner Lough","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",1,2,0,0,1,5,0.2,0.4,0,0,0.2
"905","Colin Brown","Division 1","Men","Division 1 Men","Carleton CUT",1,1,1,0,1,5,0.2,0.2,0.2,0,0.2
"906","Clell Hamm","Division 1","Men","Division 1 Men","North Carolina Darkside",0,1,0,0,1,6,0,0.166666666666667,0,0,0.166666666666667
"907","Claudia Dare","Division 1","Women","Division 1 Women","North Carolina Pleiades",4,3,0,2,1,7,0.571428571428571,0.428571428571429,0,0.285714285714286,0.142857142857143
"908","Claire Weng","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",7,3,3,2,1,6,1.16666666666667,0.5,0.5,0.333333333333333,0.166666666666667
"909","Claire Lindsey","Division 3","Women","Division 3 Women","Colorado College Zenith",3,2,0,2,1,6,0.5,0.333333333333333,0,0.333333333333333,0.166666666666667
"910","Christopher Brown","Division 3","Men","Division 3 Men","Williams WUFO",0,0,0,1,1,6,0,0,0,0.166666666666667,0.166666666666667
"911","Chris Doehring","Division 1","Men","Division 1 Men","Michigan Magnum",5,1,3,2,1,5,1,0.2,0.6,0.4,0.2
"912","Challis Holloway","Division 1","Men","Division 1 Men","Oregon State Beavers",0,0,1,0,1,5,0,0,0.2,0,0.2
"913","Catherine Davison","Division 1","Women","Division 1 Women","Victoria Vikes",0,0,0,1,1,5,0,0,0,0.2,0.2
"914","Cassidy Morgan","Division 1","Women","Division 1 Women","California - San Diego D-Co",2,2,1,0,1,5,0.4,0.4,0.2,0,0.2
"915","Campbell O'Neal","Division 1","Women","Division 1 Women","Colorado Quandary",0,0,0,1,1,7,0,0,0,0.142857142857143,0.142857142857143
"916","Cameron Meier","Division 3","Men","Division 3 Men","Davenport Panthers",1,1,0,1,1,6,0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667
"917","Calista Aragon","Division 3","Women","Division 3 Women","Lewis & Clark Artemis",8,1,1,7,1,5,1.6,0.2,0.2,1.4,0.2
"918","Caleb Lance","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",1,1,0,1,1,5,0.2,0.2,0,0.2,0.2
"919","Brandon Shunk","Division 1","Men","Division 1 Men","Penn State Spank",0,1,0,0,1,5,0,0.2,0,0,0.2
"920","Benton Shevlin","Division 1","Men","Division 1 Men","Colorado Mambird",0,0,1,0,1,7,0,0,0.142857142857143,0,0.142857142857143
"921","Ben Brochard","Division 1","Men","Division 1 Men","Oregon State Beavers",0,0,0,1,1,5,0,0,0,0.2,0.2
"922","Axel Hartzog","Division 1","Men","Division 1 Men","Colorado Mambird",0,1,0,0,1,7,0,0.142857142857143,0,0,0.142857142857143
"923","Avi Skolnick","Division 3","Men","Division 3 Men","Rochester Piggies",0,1,0,0,1,6,0,0.166666666666667,0,0,0.166666666666667
"924","Ava Samford","Division 1","Women","Division 1 Women","Georgia Athena",0,0,0,1,1,5,0,0,0,0.2,0.2
"925","Ashley Chen","Division 3","Women","Division 3 Women","Wellesley Whiptails",1,1,0,1,1,6,0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667
"926","Arjun Deshmukh","Division 1","Men","Division 1 Men","North Carolina Darkside",0,0,0,1,1,6,0,0,0,0.166666666666667,0.166666666666667
"927","Annika Ross","Division 1","Women","Division 1 Women","California - San Diego D-Co",0,0,1,0,1,5,0,0,0.2,0,0.2
"928","Anna Luo","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",0,1,0,0,1,6,0,0.166666666666667,0,0,0.166666666666667
"929","Anna Davidson","Division 3","Women","Division 3 Women","Union Jillz",7,4,0,4,1,6,1.16666666666667,0.666666666666667,0,0.666666666666667,0.166666666666667
"930","Anna Cauchy","Division 1","Women","Division 1 Women","Washington Element",11,4,3,5,1,5,2.2,0.8,0.6,1,0.2
"931","Amrik Eadara","Division 1","Men","Division 1 Men","Brown Brownian Motion",1,1,0,1,1,8,0.125,0.125,0,0.125,0.125
"932","Amanda Harrison","Division 3","Women","Division 3 Women","Middlebury Pranksters",3,1,1,2,1,5,0.6,0.2,0.2,0.4,0.2
"933","Alexander Kim","Division 3","Men","Division 3 Men","Williams WUFO",0,1,0,0,1,6,0,0.166666666666667,0,0,0.166666666666667
"934","Alexander Janelle","Division 1","Men","Division 1 Men","Texas TUFF",3,1,2,1,1,5,0.6,0.2,0.4,0.2,0.2
"935","Addyson Hale","Division 1","Women","Division 1 Women","Georgia Athena",0,0,0,1,1,5,0,0,0,0.2,0.2
"936","Aaron Wei","Division 1","Men","Division 1 Men","North Carolina Darkside",0,1,0,0,1,6,0,0.166666666666667,0,0,0.166666666666667
"937","Zoe Widner","Division 3","Women","Division 3 Women","Davenport Panthers",0,0,0,0,0,5,0,0,0,0,0
"938","Zach Wanger","Division 1","Men","Division 1 Men","Michigan Magnum",2,1,0,1,0,5,0.4,0.2,0,0.2,0
"939","Yariel Perkins","Division 1","Women","Division 1 Women","California - San Diego D-Co",0,0,0,0,0,5,0,0,0,0,0
"940","William Litchholt","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",0,0,0,0,0,5,0,0,0,0,0
"941","William Hindman","Division 3","Men","Division 3 Men","Berry Bucks",0,0,0,0,0,6,0,0,0,0,0
"942","Will Roper","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",0,0,0,0,0,5,0,0,0,0,0
"943","Will Promecene","Division 1","Men","Division 1 Men","Texas TUFF",0,0,0,0,0,5,0,0,0,0,0
"944","Will Cambron","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",0,0,0,0,0,5,0,0,0,0,0
"945","Wesley Steele","Division 3","Men","Division 3 Men","Franciscan Fatal",0,0,0,0,0,6,0,0,0,0,0
"946","Wen Chi Kwok","Division 1","Women","Division 1 Women","Michigan Flywheel",0,0,0,0,0,5,0,0,0,0,0
"947","Vivian Kaufman","Division 1","Women","Division 1 Women","Michigan Flywheel",0,0,0,0,0,5,0,0,0,0,0
"948","Vienna Lee","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",11,1,4,6,0,5,2.2,0.2,0.8,1.2,0
"949","Uri Boaz","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",0,0,0,0,0,6,0,0,0,0,0
"950","Tyler Feeney","Division 1","Men","Division 1 Men","Oregon EGO",0,0,0,0,0,6,0,0,0,0,0
"951","Townsend Dierauf","Division 1","Men","Division 1 Men","NC State Alpha",0,0,0,0,0,6,0,0,0,0,0
"952","Tomo Liou","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",0,0,0,0,0,5,0,0,0,0,0
"953","TJ Lee","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",1,1,0,0,0,5,0.2,0.2,0,0,0
"954","Tiernan Donnelly","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",0,0,0,0,0,5,0,0,0,0,0
"955","Thomas Roberts","Division 1","Men","Division 1 Men","Michigan Magnum",0,0,0,0,0,5,0,0,0,0,0
"956","Thomas Plaxton","Division 1","Men","Division 1 Men","Texas TUFF",0,0,0,0,0,5,0,0,0,0,0
"957","Thomas Loch","Division 1","Men","Division 1 Men","North Carolina Darkside",1,1,0,0,0,6,0.166666666666667,0.166666666666667,0,0,0
"958","Thomas Harley","Division 1","Men","Division 1 Men","North Carolina Darkside",0,0,0,0,0,6,0,0,0,0,0
"959","Teresa Cranston","Division 1","Women","Division 1 Women","Colorado Quandary",1,0,0,1,0,7,0.142857142857143,0,0,0.142857142857143,0
"960","Taylor Smith","Division 1","Women","Division 1 Women","Colorado Quandary",6,1,4,1,0,7,0.857142857142857,0.142857142857143,0.571428571428571,0.142857142857143,0
"961","Taylor Masterson","Division 1","Men","Division 1 Men","Texas TUFF",0,0,0,0,0,5,0,0,0,0,0
"962","Sydney Anderson","Division 3","Women","Division 3 Women","Portland UPRoar",0,0,0,0,0,6,0,0,0,0,0
"963","Sumedh Anantha Krishna","Division 3","Men","Division 3 Men","Rochester Piggies",0,0,0,0,0,6,0,0,0,0,0
"964","Srikara Prithvi","Division 1","Men","Division 1 Men","NC State Alpha",0,0,0,0,0,6,0,0,0,0,0
"965","Soren Callahan","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",0,0,0,0,0,6,0,0,0,0,0
"966","Sophie Mullaney","Division 1","Women","Division 1 Women","Oregon Fugue",0,0,0,0,0,6,0,0,0,0,0
"967","Sophie Havranek","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",0,0,0,0,0,5,0,0,0,0,0
"968","Sophie Acker","Division 1","Women","Division 1 Women","Vermont Ruckus",0,0,0,0,0,6,0,0,0,0,0
"969","Sophia Nolan","Division 1","Women","Division 1 Women","Vermont Ruckus",1,0,1,0,0,6,0.166666666666667,0,0.166666666666667,0,0
"970","Sofia Sinta","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",0,0,0,0,0,5,0,0,0,0,0
"971","Sofia Eden","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",2,0,0,2,0,5,0.4,0,0,0.4,0
"972","Sloan Senofsky","Division 3","Men","Division 3 Men","Claremont Braineaters",0,0,0,0,0,6,0,0,0,0,0
"973","Sharan Sethi","Division 1","Men","Division 1 Men","Texas TUFF",0,0,0,0,0,5,0,0,0,0,0
"974","Sebastian Boccieri","Division 1","Men","Division 1 Men","NC State Alpha",0,0,0,0,0,6,0,0,0,0,0
"975","Sean Mickel","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",0,0,0,0,0,5,0,0,0,0,0
"976","Sawyer Linehan","Division 3","Men","Division 3 Men","Whitman Sweets",0,0,0,0,0,6,0,0,0,0,0
"977","Sarah Laughlin","Division 1","Women","Division 1 Women","Colorado Quandary",2,0,0,2,0,7,0.285714285714286,0,0,0.285714285714286,0
"978","Sarah Landman","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",3,3,0,0,0,5,0.6,0.6,0,0,0
"979","Samuel Williams","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",0,0,0,0,0,5,0,0,0,0,0
"980","Sam Schwartz","Division 1","Men","Division 1 Men","Washington University Contra",3,1,1,1,0,5,0.6,0.2,0.2,0.2,0
"981","Saira Sukthankar","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain",4,3,0,1,0,6,0.666666666666667,0.5,0,0.166666666666667,0
"982","Sadie Zweben","Division 1","Women","Division 1 Women","Georgia Athena",0,0,0,0,0,5,0,0,0,0,0
"983","Sadie Cutler","Division 1","Women","Division 1 Women","Utah Spiral Jetty",0,0,0,0,0,5,0,0,0,0,0
"984","Ryan Perry","Division 3","Men","Division 3 Men","Berry Bucks",1,0,0,1,0,6,0.166666666666667,0,0,0.166666666666667,0
"985","Ryan Hsi","Division 1","Men","Division 1 Men","Brown Brownian Motion",0,0,0,0,0,8,0,0,0,0,0
"986","Ryan duSaire","Division 1","Men","Division 1 Men","Carleton CUT",0,0,0,0,0,5,0,0,0,0,0
"987","Ruby Salisbury","Division 3","Women","Division 3 Women","Middlebury Pranksters",2,1,0,1,0,5,0.4,0.2,0,0.2,0
"988","Ruby Gates","Division 1","Women","Division 1 Women","Stanford Superfly",2,2,0,0,0,7,0.285714285714286,0.285714285714286,0,0,0
"989","Ruben Mendoza","Division 3","Men","Division 3 Men","Rochester Piggies",0,0,0,0,0,6,0,0,0,0,0
"990","Rose Burtt","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",0,0,0,0,0,5,0,0,0,0,0
"991","Romy Holland","Division 3","Women","Division 3 Women","Portland UPRoar",0,0,0,0,0,6,0,0,0,0,0
"992","Rishi Rajesh Jeswani","Division 1","Men","Division 1 Men","NC State Alpha",0,0,0,0,0,6,0,0,0,0,0
"993","Riley Knupp","Division 1","Women","Division 1 Women","Vermont Ruckus",1,0,0,1,0,6,0.166666666666667,0,0,0.166666666666667,0
"994","Ria Mandal","Division 1","Women","Division 1 Women","North Carolina Pleiades",0,0,0,0,0,7,0,0,0,0,0
"995","Reese Rathur","Division 1","Women","Division 1 Women","Georgia Athena",0,0,0,0,0,5,0,0,0,0,0
"996","Rebecca Lodespoto","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",0,0,0,0,0,5,0,0,0,0,0
"997","Rebecca Flax","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",0,0,0,0,0,6,0,0,0,0,0
"998","Ray Chen Hao","Division 1","Men","Division 1 Men","Michigan Magnum",0,0,0,0,0,5,0,0,0,0,0
"999","Rafael Castillo","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",1,1,0,0,0,7,0.142857142857143,0.142857142857143,0,0,0
"1000","Quinn O'Connor","Division 1","Men","Division 1 Men","Oregon State Beavers",0,0,0,0,0,5,0,0,0,0,0
"1001","Quinn Munson","Division 3","Men","Division 3 Men","St Olaf Berzerkers",0,0,0,0,0,6,0,0,0,0,0
"1002","Quinn Frank","Division 3","Men","Division 3 Men","Bates Orange Whip",0,0,0,0,0,6,0,0,0,0,0
"1003","Piper Enderlein","Division 1","Women","Division 1 Women","Colorado Quandary",0,0,0,0,0,7,0,0,0,0,0
"1004","Patrick Fontenot","Division 3","Men","Division 3 Men","Franciscan Fatal",0,0,0,0,0,6,0,0,0,0,0
"1005","Parker Shahdad","Division 1","Men","Division 1 Men","NC State Alpha",0,0,0,0,0,6,0,0,0,0,0
"1006","Paige Jenkins","Division 1","Women","Division 1 Women","California - Santa Cruz Sol",3,1,0,2,0,5,0.6,0.2,0,0.4,0
"1007","Owen Schigiel","Division 1","Men","Division 1 Men","Minnesota Grey Duck",0,0,0,0,0,5,0,0,0,0,0
"1008","Owen Gin","Division 1","Men","Division 1 Men","Minnesota Grey Duck",2,0,0,2,0,5,0.4,0,0,0.4,0
"1009","Olivia Mayfryer","Division 1","Women","Division 1 Women","Pennsylvania Venus",0,0,0,0,0,5,0,0,0,0,0
"1010","Olivia Crump","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",0,0,0,0,0,5,0,0,0,0,0
"1011","Oliver Kahn","Division 1","Men","Division 1 Men","Brown Brownian Motion",0,0,0,0,0,8,0,0,0,0,0
"1012","Olive Loewer","Division 3","Women","Division 3 Women","St Olaf Vortex",0,0,0,0,0,5,0,0,0,0,0
"1013","Nomi Zeidenberg","Division 1","Women","Division 1 Women","Carleton Syzygy",4,1,2,1,0,6,0.666666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0
"1014","Noah Pershing","Division 3","Men","Division 3 Men","Claremont Braineaters",1,1,0,0,0,6,0.166666666666667,0.166666666666667,0,0,0
"1015","Noah Kaller","Division 1","Men","Division 1 Men","Washington University Contra",0,0,0,0,0,5,0,0,0,0,0
"1016","Noah Bush","Division 1","Men","Division 1 Men","North Carolina Darkside",0,0,0,0,0,6,0,0,0,0,0
"1017","Nicole Luparello","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",0,0,0,0,0,5,0,0,0,0,0
"1018","Nicole Carvalho","Division 3","Women","Division 3 Women","Davenport Panthers",6,2,1,3,0,5,1.2,0.4,0.2,0.6,0
"1019","Nicole Achen","Division 1","Women","Division 1 Women","Western Washington Chaos",0,0,0,0,0,5,0,0,0,0,0
"1020","Nick Canavan","Division 3","Men","Division 3 Men","Franciscan Fatal",3,2,0,1,0,6,0.5,0.333333333333333,0,0.166666666666667,0
"1021","Nicholas Alfonso","Division 1","Men","Division 1 Men","Michigan Magnum",3,1,1,1,0,5,0.6,0.2,0.2,0.2,0
"1022","Nghia Warren","Division 1","Women","Division 1 Women","Oregon Fugue",0,0,0,0,0,6,0,0,0,0,0
"1023","Nathaniel Scott-Avery","Division 3","Men","Division 3 Men","Franciscan Fatal",0,0,0,0,0,6,0,0,0,0,0
"1024","Nathan Winiarski","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",1,0,0,1,0,6,0.166666666666667,0,0,0.166666666666667,0
"1025","Nathan Parker","Division 1","Men","Division 1 Men","Carleton CUT",3,0,2,1,0,5,0.6,0,0.4,0.2,0
"1026","Nathan Kallin","Division 1","Men","Division 1 Men","Carleton CUT",1,0,0,1,0,5,0.2,0,0,0.2,0
"1027","Nate Ackerman","Division 1","Men","Division 1 Men","Washington University Contra",0,0,0,0,0,5,0,0,0,0,0
"1028","Miranda Baltaxe","Division 1","Women","Division 1 Women","Michigan Flywheel",0,0,0,0,0,5,0,0,0,0,0
