"","Overall Place","Elapsed Time","Team Name","Team #","Category","Last Finish","Div Place","Team Members"
"15",15,"6:51:03","A Gift of Dance/Fast and Female",93,"Competitive Women","Kayak",2,"Helen Currey, Kim Mackenzie, Michele Conrad, Eva Hagen, Kelly Ahern, Jessie Young, Rowena Coghill, Anne Gonzales,"
"16",16,"6:53:43","Must Beat Ash",71,"Competitive Open","Kayak",8,"Mike Bernemann, Rob Varnel, John Tolkamp, Corey Pew, Chris Halldorson, Michael Haywood, Ron Williams, Tony Routley,"
"17",17,"6:54:27","VanDammage",84,"Competitive Open","Kayak",9,"Jay Ostby, David Schlesinger, Jon Takao, Anders Mavis, Robert Hamlin, Andreas Unterschuetz, Michael Beckman, Darrin Seeds,"
"18",18,"6:55:00","Boomer's Drive-In Mixed",90,"Competitive Mixed","Kayak",2,"Barbara Willson, Sheila Puga, Michael Finley, Collin Buckley, Alexa Turzian, Calvin Collander, Debbie Arthur, Mischa Burnett,"
"19",19,"6:57:09","Mt. Baker Ski Area Masters",174,"Masters","Kayak",4,"Duncan Howat, Gail Howat, Russ Bornemann, Hannah Bronez, Rune Harlzestad, Lynn Bull, Larry Goldsby, Bruce Rustad,"
"20",20,"6:57:18","Greatest American Heroes",291,"Recreational Open","Kayak",1,"Rob Rogers, Beau Whitehead, Stuart Ayling, Shane Brady, Andrew Schmidt, Nathan Holmes, Tom Swetish, Martin Ayling,"
"21",21,"7:03:42","Kulshan Cycles",493,"Whatcom County Women","Kayak",1,"Veronica wisniewski, Charlotte Waller, Marti Riemer, Amanda Miller, Kae Moe, amber morrison, Heather Nelson, Elizabeth Hartsoch,"
"22",22,"7:04:39","Aven Construction",464,"Whatcom County Mixed","Kayak",1,"shekinah aven, Julie Whitacre, Scott Young, Courtney Olsen, Mikhaila Thornton, Cara Carbone, Rick Lingbloom, John Clark,"
"23",23,"7:06:16","Bank of the Pacific #2",88,"Competitive Open","Kayak",10,"Glen Marsh, Joel Willis, Chad Clarke, Emily Morehouse, Tony Wiederkehr, Todd Cowles, Bill Bounds, Aaron Moss,"
"24",24,"7:06:50","Cordata Dental",13,"Competitive Mixed","Kayak",3,"Matt Shepherd, Andy Shepherd, Moriah MacGregor, Nancy Fedoruk, Caitlin Gregg, Angie Desler, chris rosinski, Jay Smith,"
"25",25,"7:08:20","EQ Carpet Cleaning",282,"Recreational Open","Kayak",2,"Bruce Biddle, Rocky Lam, Tim Reinholtz, Steve Lindsey, Robert Curtis, Brad Bjorklund, Abe Lloyd, tom fryer,"
"26",26,"7:09:39","Bellingham Firefighters",109,"Corporate","Kayak",1,"Brian Flannelly, Christian Carson, William Spaulding, jake jarvis, Mark Brennan, Brian Jones, Jason Sims, Rob Kintzele,"
"27",27,"7:12:55","Mt Baker Volunteer Ski Patrol Team 1",130,"Corporate","Kayak",2,"Dave May, Kevin Kaiser, Mike Trowbridge, Chuck Foster, jeff davis, Walter Channel, Kim Cantrell, Jeremy Stafford,"
"28",27,"7:12:55","Dirty Muffin Tops",466,"Whatcom County Mixed","Kayak",2,"Dan Moseley, Gabe Starbuck, David Deschenes, Susan Deschenes, dan froula, Wendy Owen, Candice Wittenberg, Kristen McKenzie,"
"29",29,"7:13:07","Fairhaven Fitness Raging Frogs",27,"Competitive Open","Kayak",11,"Ashley Paul James, Ted Scherrer, mike powell, Jackie Bykonen, Chas Kubis, Thierry Werderits, Marc Whitlock, Nicole Connor,"
"30",30,"7:18:37","The Monkey Wrench Gang",83,"Competitive Open","Kayak",12,"Michael Meyer, John Austin Ruf, John Lackey, Tom Leptich, Hugh Klinedinst, Chris Knudsen, Rob McCormack, Chris Wright,"
"31",31,"7:20:49","Deep Cove Outdoors",95,"Competitive Women","Kayak",3,"Linda Warren, Leanne Stanley, Barbara Morris, Sheryl Preston, Andrea Bundon, Carleigh Whitman, Jodi Boates, Kelly Jones,"
"32",32,"7:21:18","Rocket Donuts",39,"Competitive Mixed","Kayak",4,"Matt Treat, Eric Paige, Kevin Peterson, Jen Warolin, Kirsten Bock, Kelsey Peterson, Jamie Klein, Cindy Klein,"
"33",33,"7:23:01","Chuckanut Brewery",57,"Competitive Open","Kayak",13,"Sam Stoner, Brady Lester, tim hubner, Patrick Ross, Pasi Virta, Markus Virta, bryan weimer, Mikael Virta,"
"34",34,"7:24:26","Drinkers with a Racing Problem",25,"Competitive Open","Kayak",14,"Lukas Meyers, Tyler Steinman, Stephan Niquet, wendy gibson, Terry Whitman, Mikkel Lamay, Chris Duppenthaler, Shawn Cecotti,"
"35",35,"7:27:34","Darwin's Bulldogs",59,"Competitive Open","Kayak",15,"John Rybczyk, Michael Medler, Robert Mitchell, Amites Sarkar, Darrell Sofield, Predrag Vadjic, Dion Maxwell, Andy Bunn,"
"36",36,"7:29:31","Sound Source",378,"Recreational Open","Kayak",3,"Dave Hansen, Frank Repanich, Shawn Lucke, Norman Vigre, jon albright, Robert Walsh, Ken Katz, Scott Klimo,"
"37",37,"7:31:46","Half Fast",293,"Recreational Open","Kayak",4,"Daryl McDonald, bubba smith, Sid Wray, Brian Morrison, Peter Stanley, David Way, kristian tollefson, Todd Karam,"
"38",38,"7:35:46","Well Hung Jury",424,"Recreational Open","Kayak",5,"Mike Baker, Greg Fosty, Chris Petrick, dave stirling, Christopher Burk, Richard Roehner, Tim Niemier, John Coleman,"
"39",39,"7:36:19","Bare on heating 2",50,"Competitive Open","Kayak",16,"Bryan Weener, Ian Steger, Mike Foster, nick gallaher, Jason Babcock, Pierre-Yves Lavertu, Ryan Moore, Aaron Adelstein,"
"40",40,"7:37:19","BFF's (Barlean's Flax Fanatics)",52,"Competitive Open","Kayak",17,"Joshua Hamilton, Aaron Boje, Michael Simecek, Cody Bormuth, Kyle Kelln, Alia Hiller, Roger Lamb, Jon Hill,"
"41",41,"7:38:07","Tight Genes",161,"Family","Kayak",1,"Keith VanderGriend, Kerry VanderGriend, Jeff Boersma, Thane Veltkamp, Trent Veltkamp, Trevor Veltkamp, Kurt Vander Griend, Luke Boersma,"
"42",42,"7:39:00","Old Skool",183,"Masters","Kayak",5,"Jeffrey Wong, Vern Heikkila, Jeff Lemon, Ki Shin, Marty Sitton, William Hanna, John Miller, Kevin Easley,"
"43",43,"7:39:38","Hard Rock Idiots",16,"Competitive Mixed","Kayak",5,"Jackie Caplan-Auerbach, Collin Smith, Pete Stelling, Katie Hisert, katherine hancock, Kate Destler, Eric Grossman, Colin Amos,"
"44",44,"7:40:22","The Wreckers",488,"Whatcom County Open","Kayak",3,"Kevin Hickey, Faron Clymer, Erik Hokanson, Gordon Clark, matt monson, Rob Miller, Mike Berry, James Beieler,"
"45",45,"7:40:32","Exxel Pacific",117,"Corporate","Kayak",3,"Matt Stodola, Geoff Stodola, Brian Slick, Cam Schroder, shawn devries, Matt VanderVeen, Sean Stimac, Brian Christensen,"
"46",46,"7:41:04","Bird Construction",110,"Corporate","Kayak",4,"Dylan Toothill, Mark Heinhuis, Brian Dougherty, Craig Shirra, Thomsen D'Hont, Fraser McIntosh, Sean Hilton, Logan Tacoma,"
"47",47,"7:42:01","Fanatik Hot Flashes",492,"Whatcom County Women","Kayak",2,"Michele Anderson, Kimberly Reeves, Tammy Bennett, Jen Gallant, Elizabeth Herdman, Martha Dearstyne, Elana Ecker, Kathy Salisbury,"
"48",48,"7:42:05","Polish Force NorthWest 1",74,"Competitive Open","Kayak",18,"Tomasz Wietecha, Bartek Jung, Martin Turek, Krzysztof Kazmierczak, Damian Dominik, Marek Wencel, Krzysztof Bujak, Jacek Wiktorowicz,"
"49",49,"7:42:09","MRSAnary Men",328,"Recreational Open","Kayak",6,"Ethan Teed, Matthew Strome, Ralph Weiche, Justin Moore, Paul Chamberlain, Tyree Johnson, jim buchanan, Duncan McBean,"
"50",50,"7:43:33","Kids on [Lactic] Acid",68,"Competitive Open","Kayak",19,"William Jessen, David Couvrette, Evan Siroky, Brady Houck, Shawn Connolly, Kevin Alber, Brent Couvrette, Tanner Nicol,"
"51",51,"7:43:40","What would Harvey Haggard do?",86,"Competitive Open","Kayak",20,"Neil Bransfield, Andrew Kracht, David Wheeler, nate wallace, jeff clark, Sandro Kodama, Greg Gilda, Gene Hogan,"
"52",52,"7:43:53","UPS",146,"Corporate","Kayak",5,"john dutton, Edward Hansen, steve poulter, Robert Morgan, Gunnar Birkeland, Nico Laninga, Dan Ferguson, Pavel Kritovich,"
"53",53,"7:44:20","Grub's Pain Parade",180,"Masters","Kayak",6,"Timothy Ahern, Steve Bennett, William Ryan, John Diefel, Kasey Bell, Chuck Loos, Andres Springborn, Tom Petersen,"
"54",54,"7:45:08","OOO-UM-GOW-AH",342,"Whatcom County Open","Kayak",4,"Brady Davis, mike grummel, Todd Paglia, Jim Ace, Gil Lund, ryan allsop, Dennis Lunny, Jason Loeb,"
"55",55,"7:45:30","BPD and Chris",247,"Competitive Open","Kayak",21,"ben vodopich, Marvin Sargent, Kyle Nelson, Chris Freeman, Keith Johnson, Kevin Freeman, Wes Hammer, Jeremy Woodward,"
"56",56,"7:47:39","Nitropaced",483,"Whatcom County Open","Kayak",5,"Barry Landau, Cole Watson, Garrett Charlson, Sarah Kok, Ian Sawyer, Rob Campbell, Shaun Sullivan, fred wiley,"
"57",57,"7:48:29","Lickety Splits",311,"Competitive Open","Kayak",22,"drew oaksford, Matthew Bautista, Jaime Strauch, Brian Lewis, Charles Zins, Eric Smith, Bob Gibbons, Kyle Huebner,"
"58",58,"7:49:40","Logos Bible Software",127,"Corporate","Kayak",6,"Jim Straatman, Richard Kiene, Glenn Gervais, Kristen Carter, Nick Kelly, Sean Fields, Aaron Dutton, Bryan Smith,"
"59",59,"7:50:34","Rock, Paper, Scissors",98,"Competitive Women","Kayak",4,"Robin Yakhour, Mary Hepokoski, danita dunlap, Emily Uhlig, Jennifer Myers, Jacquelyn Myers, Anne Browning, Sophia McCloy,"
"60",60,"7:50:38","Robodog",76,"Competitive Open","Kayak",23,"Peter Vigh, Justin Tran, Tim Scheumann, Dustin Richmond, Nicholas Roehner, Gregory Coulter, Anton Ypma, Michael Binder,"
"61",61,"7:50:57","Stupendous Men",79,"Competitive Open","Kayak",24,"Tommy Lingbloom, Ben Goodwin, Francisco Bujanda, Justin Emerick, Aric Gaither, Colin Ferris, Ben Mullen, Ryan Lancaster,"
"62",62,"7:51:40","Desolation Angels",24,"Competitive Open","Kayak",25,"Chris Moench, Saul Weisberg, Roger Christophersen, Katie Roloson, Anthony Chapin, Mike Cuseo, Byron Ricks, clint hensley,"
"63",63,"7:52:51","Gardner Mountain Goats",61,"Competitive Open","Kayak",26,"John Rohrer, Remington Rohrer, bob naney, Casey Smith, Joe Jensen, Bill Gaines, john sinclair, Robert Long,"
"64",64,"7:53:20","Ski to Sea Yogis",78,"Competitive Open","Kayak",27,"Kevin Dooms, Robert Rienstra, Chris Stacey, Aaron Poh, Alicia Masiulis, Christopher Poh, Matt Nelson, Magnus Collander,"
"65",65,"7:54:14","The Unorthodocs",410,"Recreational Open","Kayak",7,"Jason Stoane, Joel Hoekema, Matt Oswin, Cody Velthuizen, Jason Tedrow, Scott Price, Jim Nosella, Studley Matthew,"
"66",66,"7:55:19","Two Cubed To Finish",45,"Competitive Open","Kayak",28,"Edoh Amiran, Liam Price, Gregory Cook, Mike Tull, George Winters, Iulian Cociug, Arlene Wade, Colin Ferguson,"
"67",67,"7:55:57","Got Hope",63,"Competitive Open","Kayak",29,"mark bayard, Rollie Doo, Harvey Gunderson, John Viechnicki, Jim Marcotte, Brad Rudover, Ken Eastham, Kurt DenAdel,"
"68",68,"7:56:00","Higher Plane",64,"Competitive Open","Kayak",30,"Kurt Swanson, Mark Lackey, Justin Dudley, Ryan Pflueger, Corey Pflueger, Jim Lackey WA, Kris Hunt, James Stegen,"
"69",69,"7:56:25","Team Downski",43,"Competitive Open","Kayak",31,"Carl Pitzer, Keith Kirby, Justin Reeves, Justin Farris, Vern Latta, Kirk Bottelberghe, Brad Bennett, David Polansky,"
"70",70,"7:57:48","Hollander Investments, Inc.",298,"Recreational Open","Kayak",8,"Scott Colehour, Matt Ouilette, toby janzen, Heather Ouilette, Paul Hollander, Kris Shimkus, Hans Wolfisberg, Brian Sheeres,"
"71",71,"7:59:03","Kicked In The Nooksack",479,"Whatcom County Open","Kayak",6,"Stacy Herron, Dave Bushnell, Ben Shaklee, DAVID PENROSE, Mark Bussell, Robert Vater, Lance ""Tiger Man"" Romo, Brennan gilbert,"
"72",72,"7:59:36","Blue Skies & White Knuckles",246,"Recreational Open","Kayak",9,"Beau Woods, josh kane, Benjamin Rasmus, Bryan Mitchiner, Joseph Shaw, Ricky Buchanan, Stefan Kalb, Patrick Anthony,"
"73",73,"7:59:51","Old, But Incredibly Slow",340,"Competitive Open","Kayak",32,"Dan Turner, Nick Marlatt, Mark Visser, Chris VandenBos, Peter Hauschka, Greg Terpstra, Darren Postma, Nate Beede,"
"74",74,"8:00:16","New Expectations",334,"Recreational Open","Kayak",10,"Liam Mora, Liam Hood, AJ Mallory, Leah Veldhuisen, Matt Taylor, Abram Gates, Will Hutchinson, Adam Work,"
"75",75,"8:00:22","Seemed Like a Good Idea at the Time",77,"Masters","Kayak",7,"Michael Mallory, Steve Hood, David Hansen, Brent Carbajal, Steve Taylor, Stanley Harris, Greg Welsh, Steve Work,"
"76",76,"8:01:46","Spandex is Faster",379,"Recreational Open","Kayak",11,"Joe Mathias, Tyler Payne, Jeb Bolton, Mats Fredrickson, Steve Rybolt, Aaron Barlond, Justin White, Jeff Kastning,"
"77",77,"8:01:59","Don't Panic Dads",274,"Recreational Open","Kayak",12,"Rick Bogar, John Geer, Dean Kanenaga, Sean Sigmon, Eric Jaecks, Marco Angel, Ralph Jorgenson, Mike Gage,"
"78",78,"8:02:09","Everett Firefighters",116,"Corporate","Kayak",7,"Ric Cade, Michael Rhodes, Nick Adsero, Jeff Steele, Michael Bedard, Jason Brock, Eric Coston, Richard Smith,"
"79",79,"8:02:12","Wind Delay",433,"Recreational Open","Kayak",13,"Brett Sivret, Deanna Sivret, Mike Seaholm, Lindsey Battjes, Todd Vorhies, Randy Evans, Nick Battjes, Chris Lockwood,"
"80",80,"8:02:51","Dark Side",23,"Competitive Open","Kayak",33,"Nathaniel Woodsmith, Peter Young, Justin Scott, Roy Morris, Synneva Hagen-Lillevik, Brandon Elley, paul nicholson, Brian Karlberg,"
"81",81,"8:03:50","Boats And Hose",111,"Corporate","Kayak",8,"Collin Murphy, jeff pratt, Tommy Friedlander, Bryan Copeland, Aaron Hagenbuch, David Hagenbuch, andy millard, Jeremy Link,"
"82",82,"8:04:58","All Spawned Out & Headed for the Bay",47,"Competitive Open","Kayak",34,"Albert Siebring, Jan Wolfisberg, Roger Burke, Jesse Stevick, Steven Vandenbos, john steensma, Marlin Hendricks, Tom Iverson,"
"83",83,"8:05:11","Youth Dynamics",436,"Recreational Open","Kayak",14,"Aaron Bryant, Rich Heidecker, Kevin Sayler, Amy Heidecker, Greg Johnson, Chris Crane, Dale Herrigstad, Mark Bryant,"
"84",84,"8:07:45","Kevin LaFleur Memorial Team",67,"Competitive Open","Kayak",35,"Chris Elder, J. Brandon Adams, Dave DeBoer, David Malda, gabriel hoy, Derrick DeVries, Kai Ottesen, Kevin Terpstra,"
"85",85,"8:07:49","Haven Midwifery",283,"Family","Kayak",2,"Barbara Heckrodt, Val Heckrodt, Matt Sharp, Lindsey Sharp, Jesse Heckrodt, Corbin Watkins, Noah Cyr-Moore, craig moore,"
"86",86,"8:08:32","Car-Free Slug Nuts",9,"Car-Free","Kayak",1,"sonja max, Oliver Max, Erik Lookabill, Christin Clawson, Stefan Travis, Gretchen Leggitt, Aaron Westgate, Craig Stephens,"
"87",87,"8:09:34","City Haul",58,"Competitive Open","Kayak",36,"Mike Sowers, Larry Bateman, Chris Behee, Ethan Behee, Seth Fleetwood, Ryan Nelson, Clare Fogelsong, Ted Carlson,"
"88",88,"8:09:45","Whiners and Winers",431,"Recreational Open","Kayak",15,"Dave McCarty, Ken Bellefeuille, Greg Jimenez, Alicia Beck, Kathleen Kubis, Gary Griffiths, Jennifer Johnson, Don Larsen,"
"89",89,"8:10:45","Mt Baker Volunteer 2nd",329,"Recreational Open","Kayak",16,"Jeff Andreas, Jaime Buyagawan Jr, Kyle Breakey, jeff haley, Shaun Almassy, Dan Dickinson, John Wilkins, Jon Ross,"
"90",90,"8:10:48","Girl Chasers",290,"Recreational Open","Kayak",17,"Nathan Dunford, Connor Shelton, Nathaniel Evans, Matthew Dunford, Billy Miles, Ethan Evans, Hunter Grunhurd, Tyler Booth,"
"91",91,"8:10:51","Managing to Maintain",128,"Corporate","Kayak",9,"John Furman, Greg Hough, Gary Hodge, Tyler Holladay, Paul Dunn, Jason Sprinkle, Andrews Dave, Rick Nichols,"
"92",92,"8:11:00","Doin' It For The Dinner",60,"Competitive Open","Kayak",37,"Nathan Pearson, Steve Zwaller, Thomas Pann, Joe Franzen, Jerry Zyskowski, Doug Asbe, Charlie Brown, John Straub,"
"93",93,"8:11:43","I Am Maru",299,"Recreational Open","Kayak",18,"Derek Butler, Justin Morgan, JOEL BILLAU, Curtis Cappel, Don Camp, Russell Keck, Shannon Billau, Kala Zimmerman,"
"94",94,"8:12:18","High Expectations",168,"High School","Kayak",1,"Isaac Day, Cameron ""Scout"" Mora, Shannon Mallory, Maya Norton, Nick Taylor, Caleb Hale, Cannon Mallory, Jeff Biery,"
"95",95,"8:13:19","Aunt Janie's Roadtrip",189,"Recreational Mixed","Kayak",1,"Susan Bennerstrom, David Scherrer, Steve Rankin, CamE Tasker, Robert Harrington, Peter Rankin, Danielle Burnett, elizabeth rocks,"
"96",96,"8:15:18","Back For More",48,"Competitive Open","Kayak",38,"wendy choat, Nancy Clark, Kevin Skolrud, Peter Krautwald, John Degel, Jeff Luckstead, wayne martin, Tristan Skolrud,"
"97",97,"8:15:32","BC Ski to Sea",190,"Recreational Mixed","Kayak",2,"Tomiko Johnson, Duhane Lam, Iona Fisher, Alan Thompson, Will Schuurman, Ann Lanari, Natalie Thompson, Kathy McKay,"
"98",98,"8:15:58","Fire Breathing Taterchuckers",285,"Recreational Open","Kayak",19,"Greg Stahl, Wendy Jones, Reese Verner, Kristi Dugan, kim morgan, sam parker, Timothy Sawyer, Jim Quinn,"
"99",99,"8:16:23","Angle of Repose",472,"Whatcom County Open","Kayak",7,"Peter McBride, Aundrea McBride, John McLaughlin, Niall O Murchu, Curt Veldhuisen, Doug Clark, John Tuxill, Todd Donovan,"
"100",100,"8:17:23","Results Are Still Unofficial",184,"Masters","Kayak",8,"Richard hoke, Mel Elpusan, Brian Pinch, Steve Nagel, Matt Knox, Stephan Collier, Ross Anderson, Dan Garrison,"
"101",101,"8:19:46","Mind Over Bladder",470,"Whatcom County Mixed","Kayak",3,"Leah Ricks, Emma burgeson, Maggie Walsh, Lacey Nation, Jane Ward, Neil Baunsgard, Reivers Dustin, Trevor Mayes,"
"102",102,"8:20:43","Saw Kaw",371,"Recreational Open","Kayak",20,"jim knape, Peter Hoff, Johnston Hill, Lydia Elkels, Emily Webb, Mike Knape, Michael Hoff, Conrad Wharton,"
"103",103,"8:21:15","Where's Marv?",430,"Recreational Open","Kayak",21,"James Wilson, Paul Darling, Eric Wilson, Jennifer Sharp, Scott Johnson, Sean Lewis, cevan schmitt, Stephanie Schmitt,"
"104",104,"8:22:27","Janicki Veterans",122,"Corporate","Kayak",10,"Andy Bridge, John Janicki, James Diedesch, Tony Moore, Will Whiton, Tom Doughty, Greg Holmes, Dan Hockett,"
"105",105,"8:23:09","The Whatcom Athletic Team",185,"Recreational Open","Kayak",22,"glenn biernacki, CHRISTINE CLAUSON, Stowe Talbot, Jason Heck, Donatas Pocus, kevin williamson, Jeff Hegedus, David Heck,"
"106",106,"8:23:16","Jogo Crossfit Bellingham",468,"Whatcom County Mixed","Kayak",4,"Mike Etnier, Misty Nikula, Roger Hutchison, Hilary Nichols, Mark Hoffmann, Kevin Wolber, Dave Walters, Dave Pringle,"
"107",107,"8:23:24","Gnarly Boots. Gettin Extreme!",30,"Competitive Open","Kayak",39,"Jason Brown, Jason Cade, Mike Schroyer, Abraham Tobon, Greg Brown, Sarah Nakken, Waylan Kelly, Steven Williams,"
"108",108,"8:23:34","Big Big Bettys",242,"Recreational Open","Kayak",23,"Scott Lipp, Ben Taylor, Patrick Jablonski, Chris Hoops, Dominic Tracy, Corey Vannoy, Gerald Grace, Erik Morris,"
"109",109,"8:23:36","Alpha Dogs",107,"Corporate","Kayak",11,"Tony Johnson, Don Thompson, John Highet, Anthony Munn, Brandon Witman, Aaron Michelle, Ryan Roy, Jonathan Carpenter,"
"110",110,"8:24:15","Egads It's Ershigs",115,"Corporate","Kayak",12,"Joel Jorgensen, Kevin Smeall, Martin Otto, Julie Delaney, Ted Radke, Joshua Eastin, peter wells, Mike Merrick,"
"111",111,"8:24:41","Comfortably Numb",261,"Recreational Open","Kayak",24,"Nick VanJaarsveld, Tyler Leedom, Bao Huynh, Saxe Neal, Jody Laakso, Trevor Pitsch, Greg Schayes, Jessica Yoos,"
"112",112,"8:24:43","Whatcom Physical Therapy & Fitness",427,"Recreational Open","Kayak",25,"alan finston, Greg Manning, Joel Sellinger, Wyatt Beckwith, Matthew Hovde, preston sellinger, Bart Maupin, Morgan Manning,"
"113",113,"8:24:57","InlegKami2C",34,"Competitive Mixed","Kayak",6,"Eugene Saburi, Yevgeniy Mikhaylov, Elizabeth Black, Cheri Saburi, Ben Dietz, Kathleen Hurley, Meg Kelly, Joshua Lipsky,"
"114",114,"8:25:01","Myoclonic Jerks",333,"Recreational Open","Kayak",26,"Ruru Wang Washington, Danielle Conrardy, Patrick Jacks, Nicholas Chapin, Bjørn Bakken, Ben Houser, Jacqueline Houser, Curtis Bergquist,"
"115",115,"8:25:06","All American",235,"Recreational Open","Kayak",27,"Dustin Hill, Otto Rauch, Brent Hartwig, Tino Quiroga, Adam Fulton, Justin Graf, Jim Atkinson, Kelend Hawks,"
"116",116,"8:25:32","BIFC Dads & Buds",176,"Masters","Kayak",9,"Joe Blunt, Erik Ruud, Cormac Deavy, jeff bos, Coert Voorhees, James Footh, Tom Burgess, Jim Sprott,"
"117",117,"8:25:35","Nomads",37,"Competitive Open","Kayak",40,"Julia Briggs, Casey Schau, Jeffrey Stamerjohn, michael schau, Erin Uhl, Dan Ericson, Steve Jacobson, Brian Hinson,"
"118",118,"8:25:49","Five Point Palm Exploding Heart Technique",286,"Recreational Open","Kayak",28,"Erin Hendricks, Connor Birkeland, Stephen Deck, Ryan Brevik, Emily Mulnick, Matt Chapman, Connor Powell, Robert Mills,"
"119",119,"8:27:36","Half & Half",181,"Masters","Kayak",10,"Natasha Zavorotny, Youri Zavorotny, Viktor Okunev, Pavel Sorokin, Anton Issinski, Alex Ustyugov, Evgeni Diment, Peer Winter,"
"120",120,"8:27:53","Gettin' It",62,"Competitive Open","Kayak",41,"jeremy westra, Eli Winslow, Geoffrey LaVoy, MARCUS NEVITT, Chris Taber, Alex Rinaldi WA, Eli Robinsonn, Daniel Wells,"
"121",121,"8:28:00","man, are we gettin' old",36,"Competitive Open","Kayak",42,"Gary Smith, Terri Plake, bob snyder, Philip Frank, Marc Costanza, Raymond Hasenjaeger, aaron byrne, Bill Hasenjaeger,"
"122",122,"8:28:17","Gang Green",119,"Corporate","Kayak",13,"Jet Mills, Sean Crawford, Philip Olson, Jeff Shaffer, John Sterling, Clinton Jackson, Chris McDonell, Chris Smith,"
"123",123,"8:30:27","Floundering Salmon",14,"Competitive Mixed","Kayak",7,"Kimberly Bernier, Elizabeth Gorton, Liz Marzolf, Cory Sbarbaro, Halsey Bell, Christine Miller, Raphael Bernier, Victor Yagi,"
"124",124,"8:31:36","Team Haskell",487,"Whatcom County Open","Kayak",8,"Evan Haskell, Troy Haskell, Jeff Jenkins, Giang Ha, Elisha Anderson, Toma Podorean, Terrance Corrigan, nicholas sellgren,"
"125",125,"8:31:43","Peak 7 - Shuksan",350,"Recreational Open","Kayak",29,"Joel Werdell, Christopher Wall, Rick Benson, Ryan Beatty, Maren Anderson, Nathan Lee, David Knapp, ryan miller,"
"126",126,"8:31:53","Clam Hammers",20,"Competitive Open","Kayak",43,"Alex Lewis, Jensen Boehm, Ryley Hausken, Casey Schmidt, Shelly Cousins, Ethan Fernandes, Drew Bock, Terry Lewis,"
"127",127,"8:32:13","The Pursuit of Hoppyness",405,"Recreational Open","Kayak",30,"Mitch Anderson, Darren Anderson, Mike McCarthy, Mindy Platte, Greg Pace, Tyler Platte, Travis Tallquist, Ray Geiger,"
