"","Overall Place","Elapsed Time","Team Name","Team #","Category","Last Finish","Div Place","Team Members"
"218",218,"9:54:57","Tag, you're it!",186,"Competitive Mixed","Kayak",10,"Lindsay Lund, Erin Erven, Whitney Stanat, Peter Garatoni, Julie Wallace, Elizabeth Knapp, Shiloh Erven, Andrew Fonaldson,"
"219",219,"9:55:16","Ski To Seamen",297,"Recreational Open","Kayak",59,"Jason Tabert, Ian Cairns, Zak Cobb, Christopher Quam, Jessica Ibsen, Marina Dosch, Michelle Cairns, Scott Sell,"
"220",220,"9:55:21","Brio Laundry",180,"Recreational Open","Kayak",60,"Dillon Croft, Brogan Beyette, Levi Unema, Luke Roberts, Andrew Disselkoen, Ellie Furmanski, Ross Perigo, Corey Downing,"
"221",221,"9:56:25","Taylor Shellfish-We've Got Mussels!",77,"Masters","Kayak",5,"Meg Metzger, Kathryn Mitchell, Ray Foster, William Scott, Gregory Saupe, Susan DeBari, Dan Ferguson, Eddy Hansen,"
"222",222,"9:57:03","Nooksack Never Landlubbers",284,"Recreational Mixed","Kayak",32,"Joe Dobson, Lynette Skippon, carly beth, Rob Lawrance, Tammy Packard, David Skippom, jacob gates, Karen-Margrethe Bruun,"
"223",223,"9:58:50","Northwestern Mutual",135,"Corporate","Kayak",25,"Mike OBrien, Nathaniel Donohue, Paul Twedt, David DeYoung, Daniel Ruiz, Joseph Montgomery, Katherine Lebioda, Corie Hou,"
"224",224,"9:59:10","BP Machine Supernuts",290,"Corporate","Kayak",26,"Jeremy Bader, Ray Rediger, Kevin Phillips, Walt Roque, Mike Locker, Ira Ash, Jon Kornelis, Caleb Hansen,"
"225",225,"10:00:39","Speed Limited",97,"Recreational Mixed","Kayak",33,"Bill Chambers, Lloyd Johnson, David Anderson, Sharon Loeppky, CHUCK EARLE, Lorraine Earle, David Loeppky,"
"226",226,"10:00:57","Cargill",309,"Recreational Mixed","Kayak",34,"Terry Batchelder, Stephanie Sakowski, Brad Pitalo, Michelle Sullivan, Alex Lepper, Brad Scheib, Emily Neff, Ryan Ringel,"
"227",227,"10:01:17","RB3",148,"Recreational Mixed","Kayak",35,"Jaime Levy, Michael Taylor, Brandon Levy, Anthony Somoza, Melody Cappelletti, Joanna Dunn, Danielle Szabo, Brad Metz,"
"228",228,"10:01:30","A Mighty Wind",21,"Recreational Open","Kayak",61,"Antonio Wright, Danielle McCauley, Marius Magda, Mike Cheney, daniel galvin, Jim Sturgul, Marc Marcotte, david fogle,"
"229",229,"10:02:20","Lucid Consulting",96,"Competitive Open","Kayak",32,"Christopher Howard, Andreas Riemann, Erik Foss, Jason Bratlien, Scott Whitkop, Teague Barry, Kirc Hale, Ray Dailey,"
"230",230,"10:02:28","Fresh off the Couch",298,"Recreational Open","Kayak",62,"Bert Huelmann, ROBERT PRONGAY, Anne Baxter, Kellie Creamer, Gwynne Schnaittacher, Deborah Harstad, Stephanie Moore, Jeannine Shaw,"
"231",231,"10:03:54","Mountain Zygoats",52,"Recreational Mixed","Kayak",36,"Maribeth Latvis, Hannah Marx, Baptiste Journaux, Jack Arata, Daniel Schneider, Amanda Stahlke, Hannah Jordt, Thibault Stalder,"
"232",231,"10:03:54","If you ain’t first, you’re last",235,"Whatcom County Mixed","Kayak",3,"William B Scott, Kimberlie Struiksma, Erin Allison, Paul Belliveau, Alexis Cammack, Wesley Kelln, Kyle Kelln, Brad Kelln,"
"233",233,"10:05:31","Ping Pong Club",126,"Whatcom County Open","Kayak",19,"Michael Higgins, Andy Asbjornsen, Will Bright, John Soden, Phil Evans, Matthew Miller, Duncan Robb, Adam Lewis Resnick Resnick,"
"234",234,"10:05:40","Well Groomed",87,"Recreational Open","Kayak",63,"Zach Curtis, Anders Tarleton, Tyler Woods, Braxton Williams, Peter Gierlach, Melinda Vickers, Mike Widmann, Tom Logan,"
"235",235,"10:06:16","Sojourn Clothier",31,"Whatcom County Mixed","Kayak",4,"Kirby Overman, Emily Pittis, Jessa Clark, Patrick Lisosky, Zane Markosian, Dana Ringler, Kerry Roberts-Nygren, Simone Hall,"
